Isolate ID	Host Species	Year	Sampling Location
AgR268	BOVINE	2005	New Zealand: WESTCOAST
12754_8#77	BOVINE	2004	New Zealand: SOUTHLAND
N31	POSSUM	2012	New Zealand: WESTCOAST
12755_8#21	BOVINE	2009	New Zealand: Waikato
12754_7#33	BOVINE	2002	New Zealand: OTAGO
12754_7#26	POSSUM	1983	New Zealand: KING COUNTRY
12754_7#49	POSSUM	1992	New Zealand: OTAGO
12754_8#83	POSSUM	2001	New Zealand: MARLBOROUGH
12754_7#77	BOVINE	1992	New Zealand: TAIHAPE
AgR145	POSSUM	1985	New Zealand: WESTCOAST
12755_8#26	BOVINE	2013	New Zealand: Northland
12755_8#19	PORCINE	2006	New Zealand: CANTERBURY
12754_8#80	BOVINE	1991	New Zealand: NORTH CANT.
12754_7#84	BOVINE	1999	New Zealand: OTAGO
12754_8#16	BOVINE	2001	New Zealand: SOUTHLAND
12754_7#3	CERVINE	1994	New Zealand: TAUPO
12754_7#38	BOVINE	2001	New Zealand: TAUPO
12754_7#64	BOVINE	2002	New Zealand: TAIHAPE
AgR317	POSSUM	2005	New Zealand: WESTCOAST
12754_8#56	FERRET	2002	New Zealand: BLENHEIM
AgR259	POSSUM	2009	New Zealand: WESTCOAST
12754_8#24	PORCINE	1992	New Zealand: BLENHEIM
12754_7#40	BOVINE	1992	New Zealand: WANGANUI
AgR245	BOVINE	2008	New Zealand: WESTCOAST
AgR283	POSSUM	1999	New Zealand: WESTCOAST
AgR271	BOVINE	2010	New Zealand: WESTCOAST
12755_8#15	POSSUM	1998	New Zealand: WEST COAST
AgR284	BOVINE	2001	New Zealand: WESTCOAST
12754_8#78	CERVINE	2004	New Zealand: NORTH CANT.
AgR263	BOVINE	2008	New Zealand: WESTCOAST
AgR295	BOVINE	2008	New Zealand: WESTCOAST
AgR126	FERRET	1991	New Zealand: MACKENZIECOUNTRY
N52	BOVINE	2013	New Zealand: WESTCOAST
12754_7#10	BOVINE	2002	New Zealand: HAWKES BAY
12755_8#28	BOVINE	2013	New Zealand: Northland
12755_8#22	BOVINE	2009	New Zealand: Waikato
12754_8#74	BOVINE	2003	New Zealand: NORTH CANT.
12754_7#34	FERRET	1998	New Zealand: TAUPO
AgR228	BOVINE	2011	New Zealand: CENTRALCANTERBURY
12754_8#41	BOVINE	1996	New Zealand: NORTH CANT.
AgR291	POSSUM	1999	New Zealand: WESTCOAST
AgR233	BOVINE	2010	New Zealand: WESTCOAST
12754_7#78	BOVINE	1998	New Zealand: CHRISTCHURCH
AgR251	BOVINE	2006	New Zealand: WESTCOAST
12754_7#87	BOVINE	1997	New Zealand: OTAGO
12754_7#8	BOVINE	2001	New Zealand: HAWKES BAY
12754_8#29	POSSUM	1992	New Zealand: NORTH CANT.
12755_8#13	BOVINE	2009	New Zealand: CANTERBURY
12754_8#6	BOVINE	2008	New Zealand: OTAGO
12754_8#32	BOVINE	1992	New Zealand: NORTH CANT.
12754_8#15	POSSUM	1993	New Zealand: BLENHEIM
12754_8#5	BOVINE	2006	New Zealand: HAWKES BAY
12754_7#22	BOVINE	2002	New Zealand: WANGANUI
12754_7#31	BOVINE	1994	New Zealand: WANGANUI
12754_8#52	BOVINE	2005	New Zealand: NORTH CANT.
AgR249	POSSUM	1999	New Zealand: WESTCOAST
12754_8#20	FERRET	1993	New Zealand: KAIKOURA
12754_7#70	BOVINE	1997	New Zealand: OTAGO
12754_7#61	BOVINE	1999	New Zealand: WAIKATO
12754_7#13	BOVINE	1998	New Zealand: TAUPO
12754_7#16	BOVINE	1998	New Zealand: KING COUNTRY
AgR288	BOVINE	2011	New Zealand: WESTCOAST
12754_8#86	POSSUM	1994	New Zealand: CANTERBURY
